"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","AGE_BAND"
2023,"2023-01-01","2023-01-31","NT","Unknown","40-64","speed_fines","Police issued",126,0,0,"Mature"
2023,"2023-01-01","2023-01-31","NT","Unknown","40-64","speed_fines","Red light camera",301,0,0,"Mature"
2023,"2023-01-01","2023-01-31","NT","Unknown","65 and over","speed_fines","Mobile camera",159,0,0,"Senior"
2023,"2023-01-01","2023-01-31","NT","Unknown","65 and over","speed_fines","Police issued",20,1,4,"Senior"
2023,"2023-01-01","2023-01-31","NT","Unknown","65 and over","speed_fines","Red light camera",70,0,0,"Senior"
2023,"2023-01-01","2023-01-31","NT","Unknown","Unknown","speed_fines","Mobile camera",56,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","NT","Unknown","Unknown","speed_fines","Red light camera",20,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","SA","Unknown","0-16","speed_fines","Fixed camera",0,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","SA","Unknown","0-16","speed_fines","Mobile camera",0,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","SA","Unknown","0-16","speed_fines","Other",0,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","SA","Unknown","0-16","speed_fines","Police issued",0,2,0,"Unknown"
2023,"2023-01-01","2023-01-31","SA","Unknown","17-25","speed_fines","Fixed camera",483,0,0,"Young"
2023,"2023-01-01","2023-01-31","SA","Unknown","17-25","speed_fines","Mobile camera",885,0,0,"Young"
2023,"2023-01-01","2023-01-31","SA","Unknown","17-25","speed_fines","Other",0,0,0,"Young"
2023,"2023-01-01","2023-01-31","SA","Unknown","17-25","speed_fines","Police issued",710,6,3,"Young"
2023,"2023-01-01","2023-01-31","SA","Unknown","26-39","speed_fines","Fixed camera",1229,0,0,"Adult"
2023,"2023-01-01","2023-01-31","SA","Unknown","26-39","speed_fines","Mobile camera",2462,0,0,"Adult"
2023,"2023-01-01","2023-01-31","SA","Unknown","26-39","speed_fines","Other",0,0,0,"Adult"
2023,"2023-01-01","2023-01-31","SA","Unknown","26-39","speed_fines","Police issued",1230,9,6,"Adult"
2023,"2023-01-01","2023-01-31","SA","Unknown","40-64","speed_fines","Fixed camera",2426,0,0,"Mature"
2023,"2023-01-01","2023-01-31","SA","Unknown","40-64","speed_fines","Mobile camera",4161,0,0,"Mature"
2023,"2023-01-01","2023-01-31","SA","Unknown","40-64","speed_fines","Other",0,0,0,"Mature"
2023,"2023-01-01","2023-01-31","SA","Unknown","40-64","speed_fines","Police issued",1428,4,6,"Mature"
2023,"2023-01-01","2023-01-31","SA","Unknown","65 and over","speed_fines","Fixed camera",996,0,0,"Senior"
2023,"2023-01-01","2023-01-31","SA","Unknown","65 and over","speed_fines","Mobile camera",1310,0,0,"Senior"
2023,"2023-01-01","2023-01-31","SA","Unknown","65 and over","speed_fines","Other",0,0,0,"Senior"
2023,"2023-01-01","2023-01-31","SA","Unknown","65 and over","speed_fines","Police issued",355,1,0,"Senior"
2023,"2023-01-01","2023-01-31","SA","Unknown","Unknown","speed_fines","Fixed camera",184,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","SA","Unknown","Unknown","speed_fines","Mobile camera",204,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","SA","Unknown","Unknown","speed_fines","Other",0,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","SA","Unknown","Unknown","speed_fines","Police issued",3,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","TAS","Unknown","17-25","speed_fines","Fixed or mobile camera",577,0,0,"Young"
2023,"2023-01-01","2023-01-31","TAS","Unknown","17-25","speed_fines","Police issued",447,0,6,"Young"
2023,"2023-01-01","2023-01-31","TAS","Unknown","26-39","speed_fines","Fixed or mobile camera",1568,0,0,"Adult"
2023,"2023-01-01","2023-01-31","TAS","Unknown","26-39","speed_fines","Police issued",736,0,21,"Adult"
2023,"2023-01-01","2023-01-31","TAS","Unknown","40-64","speed_fines","Fixed or mobile camera",1903,0,0,"Mature"
2023,"2023-01-01","2023-01-31","TAS","Unknown","40-64","speed_fines","Police issued",834,0,7,"Mature"
2023,"2023-01-01","2023-01-31","TAS","Unknown","65 and over","speed_fines","Fixed or mobile camera",623,0,0,"Senior"
2023,"2023-01-01","2023-01-31","TAS","Unknown","65 and over","speed_fines","Police issued",239,0,0,"Senior"
2023,"2023-01-01","2023-01-31","TAS","Unknown","Unknown","speed_fines","Fixed or mobile camera",5,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","TAS","Unknown","Unknown","speed_fines","Police issued",1,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","17-25","speed_fines","Fixed camera",180,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","17-25","speed_fines","Mobile camera",2125,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","17-25","speed_fines","Police issued",820,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","26-39","speed_fines","Fixed camera",708,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","26-39","speed_fines","Mobile camera",10144,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","26-39","speed_fines","Police issued",1524,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","40-64","speed_fines","Fixed camera",1015,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","40-64","speed_fines","Mobile camera",16192,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","40-64","speed_fines","Police issued",1943,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","65 and over","speed_fines","Fixed camera",303,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","65 and over","speed_fines","Mobile camera",5052,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","65 and over","speed_fines","Police issued",437,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","Unknown","speed_fines","Fixed camera",725,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","VIC","Inner Regional Australia","Unknown","speed_fines","Mobile camera",7544,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","17-25","speed_fines","Fixed camera",2784,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","17-25","speed_fines","Mobile camera",466,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","17-25","speed_fines","Police issued",1050,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","26-39","speed_fines","Fixed camera",11589,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","26-39","speed_fines","Mobile camera",1827,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","26-39","speed_fines","Police issued",1863,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","40-64","speed_fines","Fixed camera",19952,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","40-64","speed_fines","Mobile camera",3350,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","40-64","speed_fines","Police issued",1966,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","65 and over","speed_fines","Fixed camera",5764,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","65 and over","speed_fines","Mobile camera",1434,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","65 and over","speed_fines","Police issued",381,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","Unknown","speed_fines","Fixed camera",11839,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","VIC","Major Cities of Australia","Unknown","speed_fines","Mobile camera",1600,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","17-25","speed_fines","Fixed camera",1,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","17-25","speed_fines","Mobile camera",74,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","17-25","speed_fines","Police issued",200,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","26-39","speed_fines","Fixed camera",10,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","26-39","speed_fines","Mobile camera",306,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","26-39","speed_fines","Police issued",379,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","40-64","speed_fines","Fixed camera",17,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","40-64","speed_fines","Mobile camera",596,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","40-64","speed_fines","Police issued",450,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","65 and over","speed_fines","Fixed camera",6,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","65 and over","speed_fines","Mobile camera",283,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","65 and over","speed_fines","Police issued",97,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","Unknown","speed_fines","Fixed camera",11,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","VIC","Outer Regional Australia","Unknown","speed_fines","Mobile camera",327,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","VIC","Remote Australia","17-25","speed_fines","Mobile camera",1,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Remote Australia","17-25","speed_fines","Police issued",6,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Remote Australia","26-39","speed_fines","Mobile camera",1,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Remote Australia","26-39","speed_fines","Police issued",16,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Remote Australia","40-64","speed_fines","Mobile camera",2,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Remote Australia","40-64","speed_fines","Police issued",38,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Remote Australia","65 and over","speed_fines","Police issued",8,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Unknown","17-25","speed_fines","Fixed camera",63,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Unknown","17-25","speed_fines","Mobile camera",68,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Unknown","17-25","speed_fines","Police issued",9,0,0,"Young"
2023,"2023-01-01","2023-01-31","VIC","Unknown","26-39","speed_fines","Fixed camera",218,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Unknown","26-39","speed_fines","Mobile camera",252,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Unknown","26-39","speed_fines","Police issued",23,0,0,"Adult"
2023,"2023-01-01","2023-01-31","VIC","Unknown","40-64","speed_fines","Fixed camera",288,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Unknown","40-64","speed_fines","Mobile camera",364,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Unknown","40-64","speed_fines","Police issued",18,0,0,"Mature"
2023,"2023-01-01","2023-01-31","VIC","Unknown","65 and over","speed_fines","Fixed camera",62,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Unknown","65 and over","speed_fines","Mobile camera",117,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Unknown","65 and over","speed_fines","Police issued",1,0,0,"Senior"
2023,"2023-01-01","2023-01-31","VIC","Unknown","Unknown","speed_fines","Fixed camera",205,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","VIC","Unknown","Unknown","speed_fines","Mobile camera",126,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","VIC","Unknown","Unknown","speed_fines","Police issued",1,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","WA","Unknown","0-16","speed_fines","Mobile camera",1,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","WA","Unknown","17-25","speed_fines","Average speed camera",229,0,0,"Young"
2023,"2023-01-01","2023-01-31","WA","Unknown","17-25","speed_fines","Fixed camera",1325,0,0,"Young"
2023,"2023-01-01","2023-01-31","WA","Unknown","17-25","speed_fines","Mobile camera",3685,0,0,"Young"
2023,"2023-01-01","2023-01-31","WA","Unknown","17-25","speed_fines","Police issued",916,0,0,"Young"
2023,"2023-01-01","2023-01-31","WA","Unknown","17-25","speed_fines","Red light camera",893,0,0,"Young"
2023,"2023-01-01","2023-01-31","WA","Unknown","17-25","speed_fines","Unknown",0,0,30,"Young"
2023,"2023-01-01","2023-01-31","WA","Unknown","26-39","speed_fines","Average speed camera",471,0,0,"Adult"
2023,"2023-01-01","2023-01-31","WA","Unknown","26-39","speed_fines","Fixed camera",4272,0,0,"Adult"
2023,"2023-01-01","2023-01-31","WA","Unknown","26-39","speed_fines","Mobile camera",9352,0,0,"Adult"
2023,"2023-01-01","2023-01-31","WA","Unknown","26-39","speed_fines","Police issued",1913,0,0,"Adult"
2023,"2023-01-01","2023-01-31","WA","Unknown","26-39","speed_fines","Red light camera",3494,0,0,"Adult"
2023,"2023-01-01","2023-01-31","WA","Unknown","26-39","speed_fines","Unknown",0,0,89,"Adult"
2023,"2023-01-01","2023-01-31","WA","Unknown","40-64","speed_fines","Average speed camera",546,0,0,"Mature"
2023,"2023-01-01","2023-01-31","WA","Unknown","40-64","speed_fines","Fixed camera",6412,0,0,"Mature"
2023,"2023-01-01","2023-01-31","WA","Unknown","40-64","speed_fines","Mobile camera",13530,0,0,"Mature"
2023,"2023-01-01","2023-01-31","WA","Unknown","40-64","speed_fines","Police issued",2201,0,0,"Mature"
2023,"2023-01-01","2023-01-31","WA","Unknown","40-64","speed_fines","Red light camera",7450,0,0,"Mature"
2023,"2023-01-01","2023-01-31","WA","Unknown","40-64","speed_fines","Unknown",0,0,60,"Mature"
2023,"2023-01-01","2023-01-31","WA","Unknown","65 and over","speed_fines","Average speed camera",85,0,0,"Senior"
2023,"2023-01-01","2023-01-31","WA","Unknown","65 and over","speed_fines","Fixed camera",1618,0,0,"Senior"
2023,"2023-01-01","2023-01-31","WA","Unknown","65 and over","speed_fines","Mobile camera",3317,0,0,"Senior"
2023,"2023-01-01","2023-01-31","WA","Unknown","65 and over","speed_fines","Police issued",401,0,0,"Senior"
2023,"2023-01-01","2023-01-31","WA","Unknown","65 and over","speed_fines","Red light camera",2027,0,0,"Senior"
2023,"2023-01-01","2023-01-31","WA","Unknown","65 and over","speed_fines","Unknown",0,0,8,"Senior"
2023,"2023-01-01","2023-01-31","WA","Unknown","Unknown","speed_fines","Fixed camera",11,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","WA","Unknown","Unknown","speed_fines","Mobile camera",17,0,0,"Unknown"
2023,"2023-01-01","2023-01-31","WA","Unknown","Unknown","speed_fines","Red light camera",12,0,0,"Unknown"
2023,"2023-01-01","2023-12-31","QLD","Unknown","Unknown","speed_fines","Average speed camera",9790,0,0,"Unknown"
2023,"2023-01-01","2023-12-31","QLD","Unknown","Unknown","speed_fines","Fixed camera",263939,0,0,"Unknown"
2023,"2023-01-01","2023-12-31","QLD","Unknown","Unknown","speed_fines","Mobile camera",469785,0,0,"Unknown"
2023,"2023-01-01","2023-12-31","QLD","Unknown","Unknown","speed_fines","Police issued",117112,0,0,"Unknown"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","0-16","speed_fines","Police issued",1,0,0,"Unknown"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","17-25","speed_fines","Fixed camera",508,0,0,"Young"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","17-25","speed_fines","Mobile camera",220,0,0,"Young"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","17-25","speed_fines","Police issued",27,0,0,"Young"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","26-39","speed_fines","Fixed camera",1149,0,0,"Adult"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","26-39","speed_fines","Mobile camera",463,0,0,"Adult"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","26-39","speed_fines","Police issued",52,0,0,"Adult"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","40-64","speed_fines","Fixed camera",2115,0,0,"Mature"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","40-64","speed_fines","Mobile camera",582,0,0,"Mature"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","40-64","speed_fines","Police issued",33,0,0,"Mature"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","65 and over","speed_fines","Fixed camera",735,0,0,"Senior"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","65 and over","speed_fines","Mobile camera",243,0,0,"Senior"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","65 and over","speed_fines","Police issued",4,0,0,"Senior"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","unknown","speed_fines","Fixed camera",91,0,0,"Unknown"
2023,"2023-02-01","2023-02-28","ACT","Major Cities of Australia","unknown","speed_fines","Mobile camera",13,0,0,"Unknown"
2023,"2023-02-01","2023-02-28","NSW","Inner Regional Australia","0-16","speed_fines","Police issued",2,0,1,"Unknown"
2023,"2023-02-01","2023-02-28","NSW","Inner Regional Australia","17-25","speed_fines","Police issued",1213,0,5,"Young"
2023,"2023-02-01","2023-02-28","NSW","Inner Regional Australia","26-39","speed_fines","Police issued",1894,0,10,"Adult"
2023,"2023-02-01","2023-02-28","NSW","Inner Regional Australia","40-64","speed_fines","Police issued",2047,0,6,"Mature"
2023,"2023-02-01","2023-02-28","NSW","Inner Regional Australia","65 and over","speed_fines","Police issued",522,0,0,"Senior"
2023,"2023-02-01","2023-02-28","NSW","Major Cities of Australia","0-16","speed_fines","Police issued",3,0,1,"Unknown"
2023,"2023-02-01","2023-02-28","NSW","Major Cities of Australia","17-25","speed_fines","Police issued",1387,0,32,"Young"
2023,"2023-02-01","2023-02-28","NSW","Major Cities of Australia","26-39","speed_fines","Police issued",1694,0,24,"Adult"
2023,"2023-02-01","2023-02-28","NSW","Major Cities of Australia","40-64","speed_fines","Police issued",1503,0,11,"Mature"
2023,"2023-02-01","2023-02-28","NSW","Major Cities of Australia","65 and over","speed_fines","Police issued",202,0,0,"Senior"
2023,"2023-02-01","2023-02-28","NSW","Outer Regional Australia","0-16","speed_fines","Police issued",0,0,1,"Unknown"
2023,"2023-02-01","2023-02-28","NSW","Outer Regional Australia","17-25","speed_fines","Police issued",297,0,3,"Young"
2023,"2023-02-01","2023-02-28","NSW","Outer Regional Australia","26-39","speed_fines","Police issued",553,0,2,"Adult"
2023,"2023-02-01","2023-02-28","NSW","Outer Regional Australia","40-64","speed_fines","Police issued",675,0,3,"Mature"
2023,"2023-02-01","2023-02-28","NSW","Outer Regional Australia","65 and over","speed_fines","Police issued",146,0,0,"Senior"
2023,"2023-02-01","2023-02-28","NSW","Remote Australia","17-25","speed_fines","Police issued",12,0,0,"Young"
2023,"2023-02-01","2023-02-28","NSW","Remote Australia","26-39","speed_fines","Police issued",29,0,1,"Adult"
2023,"2023-02-01","2023-02-28","NSW","Remote Australia","40-64","speed_fines","Police issued",29,0,0,"Mature"
2023,"2023-02-01","2023-02-28","NSW","Remote Australia","65 and over","speed_fines","Police issued",6,0,0,"Senior"
2023,"2023-02-01","2023-02-28","NSW","Unknown","17-25","speed_fines","Police issued",13,0,0,"Young"
2023,"2023-02-01","2023-02-28","NSW","Unknown","26-39","speed_fines","Police issued",6,0,0,"Adult"
2023,"2023-02-01","2023-02-28","NSW","Unknown","40-64","speed_fines","Police issued",6,0,0,"Mature"
2023,"2023-02-01","2023-02-28","NSW","Unknown","Unknown","speed_fines","Fixed camera",32476,0,0,"Unknown"
2023,"2023-02-01","2023-02-28","NSW","Unknown","Unknown","speed_fines","Mobile camera",2069,0,0,"Unknown"
2023,"2023-02-01","2023-02-28","NSW","Unknown","Unknown","speed_fines","Red light camera",18135,0,0,"Unknown"
2023,"2023-02-01","2023-02-28","NSW","Very Remote Australia","17-25","speed_fines","Police issued",1,0,0,"Young"
2023,"2023-02-01","2023-02-28","NSW","Very Remote Australia","40-64","speed_fines","Police issued",3,0,0,"Mature"
2023,"2023-02-01","2023-02-28","NT","Unknown","0-16","speed_fines","Mobile camera",3,0,0,"Unknown"
2023,"2023-02-01","2023-02-28","NT","Unknown","0-16","speed_fines","Police issued",1,0,0,"Unknown"
2023,"2023-02-01","2023-02-28","NT","Unknown","17-25","speed_fines","Mobile camera",251,0,0,"Young"
2023,"2023-02-01","2023-02-28","NT","Unknown","17-25","speed_fines","Police issued",40,1,4,"Young"
2023,"2023-02-01","2023-02-28","NT","Unknown","17-25","speed_fines","Red light camera",85,0,0,"Young"
2023,"2023-02-01","2023-02-28","NT","Unknown","26-39","speed_fines","Mobile camera",639,0,0,"Adult"
2023,"2023-02-01","2023-02-28","NT","Unknown","26-39","speed_fines","Police issued",121,3,6,"Adult"
